customer_id;first_name;last_name;gender;DOB;job_title;job_industry_category;wealth_segment;deceased_indicator;owns_car;Street;Home;address;postcode;state;country;property_valuation
1;Laraine;Medendorp;F;1953-10-12;Executive Secretary;Health;Mass Customer;N;Yes;Morning Avenue;060;060 Morning Avenue;2016;New South Wales;Australia;10
2;Eli;Bockman;Male;1980-12-16;Administrative Officer;Financial Services;Mass Customer;N;Yes;Meadow Vale Court;6;6 Meadow Vale Court;2153;New South Wales;Australia;10
3;Arlin;Dearle;Male;1954-01-20;Recruiting Manager;Property;Mass Customer;N;Yes;Holy Cross Court;0;0 Holy Cross Court;4211;QLD;Australia;9
4;Talbot;;Male;1961-10-03;;IT;Mass Customer;N;No;Del Mar Point;17979;17979 Del Mar Point;2448;New South Wales;Australia;4
5;Sheila-kathryn;Calton;Female;1977-05-13;Senior Editor;n/a;Affluent Customer;N;Yes;Oakridge Court;9;9 Oakridge Court;3216;VIC;Australia;9
6;Curr;Duckhouse;Male;1966-09-16;;Retail;High Net Worth;N;Yes;Delaware Trail;4;4 Delaware Trail;2210;New South Wales;Australia;9
7;Fina;Merali;Female;1976-02-23;;Financial Services;Affluent Customer;N;Yes;Londonderry Lane;49;49 Londonderry Lane;2650;New South Wales;Australia;4
8;Rod;Inder;Male;1962-03-30;Media Manager I;n/a;Mass Customer;N;No;7th Trail;97736;97736 7th Trail;2023;New South Wales;Australia;12
9;Mala;Lind;Female;1973-03-10;Business Systems Development Analyst;Argiculture;Affluent Customer;N;Yes;Ludington Park;93405;93405 Ludington Park;3044;VIC;Australia;8
10;Fiorenze;Birdall;Female;1988-10-11;Senior Quality Engineer;Financial Services;Mass Customer;N;Yes;Golden Leaf Alley;44339;44339 Golden Leaf Alley;4557;QLD;Australia;4
11;Uriah;Bisatt;Male;1954-04-30;;Property;Mass Customer;N;No;Sutherland Street;2;2 Sutherland Street;3799;VIC;Australia;6
12;Sawyere;Flattman;Male;1994-07-21;Nuclear Power Engineer;Manufacturing;Mass Customer;N;No;Mcbride Trail;9;9 Mcbride Trail;2760;New South Wales;Australia;8
13;Gabriele;Norcross;Male;1955-02-15;Developer I;Financial Services;High Net Worth;N;Yes;New Castle Avenue;9861;9861 New Castle Avenue;2428;New South Wales;Australia;9
14;Rayshell;Kitteman;Female;1983-03-25;Account Executive;Financial Services;Affluent Customer;N;No;Moland Street;52;52 Moland Street;3331;VIC;Australia;4
15;Erroll;Radage;Male;2000-07-13;Junior Executive;Manufacturing;Mass Customer;N;No;Kensington Lane;82391;82391 Kensington Lane;3058;VIC;Australia;9
16;Harlin;Parr;Male;1977-02-27;Media Manager IV;n/a;Mass Customer;N;Yes;2nd Alley;092;092 2nd Alley;2135;New South Wales;Australia;12
17;Heath;Faraday;Male;1962-03-19;Sales Associate;n/a;Affluent Customer;N;Yes;Spaight Circle;59;59 Spaight Circle;2233;New South Wales;Australia;9
18;Marjie;Neasham;Female;1967-07-06;Professor;n/a;Affluent Customer;N;No;Bartelt Crossing;032;032 Bartelt Crossing;2444;New South Wales;Australia;8
19;Sorcha;Keyson;Female;2001-04-15;Geological Engineer;Manufacturing;High Net Worth;N;No;Jenna Center;18;18 Jenna Center;2650;New South Wales;Australia;7
20;Basile;Firth;Male;1980-08-13;Project Manager;Manufacturing;Mass Customer;N;No;Cordelia Plaza;3;3 Cordelia Plaza;2153;New South Wales;Australia;10
21;Mile;Cammocke;Male;1980-09-20;Safety Technician I;Manufacturing;Affluent Customer;N;Yes;5th Center;28;28 5th Center;4413;QLD;Australia;3
22;Deeanne;Durtnell;Female;1962-12-10;;IT;Mass Customer;N;No;Carey Alley;52;52 Carey Alley;4740;QLD;Australia;5
23;Olav;Polak;Male;1995-02-10;;n/a;High Net Worth;N;Yes;Texas Plaza;96;96 Texas Plaza;3218;VIC;Australia;7
24;Kim;Skpsey;Female;1977-12-03;Research Assistant I;Argiculture;Mass Customer;N;Yes;Eagan Avenue;48;48 Eagan Avenue;4868;QLD;Australia;4
25;Geoff;Assaf;Male;1976-12-02;Accounting Assistant III;Financial Services;Mass Customer;N;Yes;Buell Park;9;9 Buell Park;4116;QLD;Australia;7
26;Trixi;Ginnelly;Female;1978-06-10;Editor;Financial Services;Mass Customer;N;Yes;Buell Parkway;02663;02663 Buell Parkway;2519;New South Wales;Australia;11
27;Garvin;Klees;Male;1978-09-25;Research Nurse;Health;Mass Customer;N;Yes;Pleasure Place;2294;2294 Pleasure Place;2135;New South Wales;Australia;12
28;Fee;Zellmer;Male;1973-09-30;Senior Quality Engineer;Health;Affluent Customer;N;Yes;Petterle Place;2951;2951 Petterle Place;2756;New South Wales;Australia;9
29;Mona;Sancraft;Female;1968-06-22;Safety Technician III;Manufacturing;Mass Customer;N;No;Lukken Drive;63;63 Lukken Drive;2170;New South Wales;Australia;9
30;Darrick;Helleckas;Male;1961-10-18;;IT;Affluent Customer;N;Yes;Luster Way;833;833 Luster Way;4005;QLD;Australia;8
31;Star;Praton;Female;1962-11-24;Staff Accountant III;Telecommunications;High Net Worth;N;Yes;Russell Plaza;34;34 Russell Plaza;4127;QLD;Australia;6
32;Marion;Vanichkin;Female;1995-04-20;Legal Assistant;Manufacturing;Affluent Customer;N;No;Del Sol Hill;78;78 Del Sol Hill;2535;New South Wales;Australia;8
33;Ernst;Hacon;Male;1957-06-25;Product Engineer;n/a;Affluent Customer;N;Yes;Sage Plaza;54;54 Sage Plaza;4726;QLD;Australia;1
34;Jephthah;Bachmann;U;1843-12-21;Legal Assistant;IT;Affluent Customer;N;No;Lawn Parkway;90;90 Lawn Parkway;4805;QLD;Australia;4
35;Margaretha;Strettle;Female;1963-09-28;Information Systems Manager;Health;High Net Worth;N;Yes;Ilene Crossing;38726;38726 Ilene Crossing;2212;New South Wales;Australia;10
